Description|Code1
General demonstration version|demo
Retail demo units and kiosks|demo-kiosk
General demonstration version, playable|demo-playable
General demonstration version, non-interactive|demo-rolling
General demonstration version, non-interactive slideshow|demo-slideshow
|sample
