Description|Code1
|110
|3D Realms - Eurocom - GT Interactive
|3DO
|505 Game Street
|505 Games
|8bitpeoples
|A-Wave
|A. Tchudov
|A.G.C.I.
|aardWolf
|Abonetochew
|Absolute
|Absolute Entertainment
|Academysoft-Elory
|Acclaim
|Acclaim - Gradiente
|Acclaim - Gradiente - Iguana Entertainment
|Acclaim - Iguana Entertainment
|Acclaim - Taito
|Acclaim Entertainment
|Accolade
|ACMLM
|Active Enterprises
|Activision
|Activision - Disney - Eurocom
|Activision - Disney - Traveller's Tales
|Activision - Traveller's Tales
|Activison
|Actvision
|Adolfsson & Erikss
|Advantige Hacking
|AgneePatel
|AHO Games
|AKI - Asmik
|AKI - Asmik Ace Entertainment
|Akkii
|Al Bailey
|AlexAR - Googie
|Allan Blomquist
|Altron
|American Game Cartridges
|American Sammy
|American Softworks
|American Technos
|American Tecmo Association
|American Video Entertainment
|Amtex - Shouei System
|Andralojc, Wojciech
|Andy Greatfun
|Angel
|Antoine Fantys / FG Software
|AppSir Games
|Arcadia
|Arcadia Systems
|Argonaut - Ubisoft
|Arnie019
|Aruze
|ASC
|ASCII
|ASCII - Locomotive
|Asder
|ASK
|Ask Koudansha
|Asmik
|Asmik - THQ
|Asmik Ace Entertainment - THQ
|aStROcReEp 2000
|Atari
|Atari - High Voltage Software - Midway
|Atari - Midway
|Atari - Rising Star Games
|Atari - Tengen
|Atari - Williams
|Athena
|Athera
|Atlus
|Atlus - Nintendo - Quest
|Atlus - Racdym
|Atlus Software
|Attention To Detail - Eidos Interactive
|Audia, Steve - Cosgrove, Dennis
|Avalanche Software - GT Interactive - Midway
|Avoid Lloyd
|Ayatollah
|BallzySoft
|BAM! Entertainment
|BAM! Entertainment - Takara
|Bandai
|Banedon
|Banpresto
|Banpresto - Big Bang
|BBQ
|Beefmaster
|Bell, Ian
|Bfbcards
|Bgiadam
|Big Bang - Infogrames
|Big Club
|Big Eli King
|Big Eli King - TeMPeS
|BigBen7
|BigEliKing
|BigEliKing - TeMPeS
|bigjim28
|Bite the Chili Productions
|Bitmaster
|Blain, Michael - Schmit, Mark - Yam, Phil
|Blargg
|Blargg - Yerrick, Damian
|Blast Hornet
|Blaze - Future Console Design
|Blomquist, Allan - Druckmann, Neil
|Blueboy
|Bluegrade
|BlueHawk
|Blues
|BMF54123
|BNas
|BO FB Offtackle Left
|Bokudono
|Boss Game Studios - Kemco
|Bothtec
|Bottom Up
|BPS
|Brøderbund
|Breakpoint
|Bridgewater, Alastair
|Britznoc
|Broderbound
|Broderbund
|Bruddog
|BSDL
|Buena Vista Games
|bulldog269
|Bullet Proof Software
|Bullet-Proof Software
|Bunch Games
|Bung
|Bung Enterprises
|bushleague
|Butler, Justin Patrick 'Beneficii'
|C & E
|C&E
|Cafetero
|Caltron
|Camerica
|Capcom
|Capcom - Disney
|Capcom USA
|Carl Batchelor
|Carmelhoops27
|Carther
|Caruso, Fabrizio
|Cattar
|CBS Sony Group
|CCE
|Celeris
|Celius
|Challenge Games
|Character Soft
|Cheshire Cat
|Chet Lyon
|Chipignon Production
|Chipignon Productions
|Chris Covell
|Chris M. Cowell
|Chunsoft
|Clambutt
|Classic Tecmo League
|Cliffi
|CMC Games
|CMU NESdev Team
|Coaching Institute of America
|Coconuts Japan
|Codeman
|Codemasters
|Codemasters - Midway
|Coleco/PixelHeart
|Colin Benson
|CollectorVision
|Color Dreams
|Columbus Circle
|Compile
|Computer & Entertainment
|Cony Soft
|Coolboyman
|Coolmario Works
|Core Design - Crave Entertainment
|Count0
|Covell, Chris
|Covell, Chris - Jamethiel - ReaperSMS
|Crave
|Crave Entertainment
|Crave Entertainment - Crystal Dynamics
|Crazy Nation
|Cream
|Creatures - Game Freak - Nintendo
|CrowTRobo
|Crystal Dynamics
|CrystalTech Software
|CSG Imagesoft
|CTC
|Culture Brain
|Curtis Himel
|Cyber Ant
|d-6u
|D3 Publisher
|Dahrkdaiz
|Daibon
|Damage X
|Dan
|Danoz
|Daou Infosys
|Dark Steak Ent.
|Dark Steak Enterprises
|Darren Ranalli
|Data East
|Data East Corp.
|Datawiz - BlackBag
|Datel
|Datel - InterAct
|DB Soft
|Deas
|Deathpoet1
|Deathscythe
|Dee-Nee Forums
|defgav
|Demo - EFX
|demystifier
|Denny
|Denny - Jstout
|Denny - Jstout - Elway7
|Destineer
|Destop
|Disch
|Disney
|Disney - Konami
|DkKnight
|DogSoft
|Dokokalaki
|Dosin
|Doty, Charles
|Doug Fraker
|dpadhero.com
|Dr. Hibbert - Frink - Snake
|Dr. Mario
|Dr. Neo
|Dragon Co.
|Dragon Eyes Software
|Dragon Eyes Studios
|Dragon Warrior
|Dragonsbrethren
|DragonSlayer
|Drake
|Dre-kp
|DreamCatcher
|DreamTech
|DreamWave Games
|DrNick
|drummer4god
|DS79
|DSI Games
|Dullahan Software/Broke Studios
|Dynamix
|E.S.C. Co. Ltd
|EA Sports
|EAV
|Echeverria, Joey - Tomczack, Mark - Lopez, Damien - Anderson, Zach
|Echigoya
|EdibleAntiPerspirant
|EDS
|EFX - Snowbro
|Elecronic Arts
|Electro Brain
|Electro Brain USA
|Electronic Arts
|Electronic Arts - Nintendo
|Electronic Arts Victor
|Elgar, Garth
|Elite
|Elite Hacking Force
|Elite Systems
|Elway7
|Elway7 - Denny - Jstout
|Empire
|Empire Interactive
|Ende
|Enix
|Enix - Treasure
|Epic - Sony Records
|Epic-Sony Records
|Epic/Sony Records
|Epoch
|Epoch Yashiro
|ESC
|ESP
|Eurasia
|Eurocom - GT Interactive
|Eurocom - GT Interactive - Midway
|Eurocom - Midway
|Europress
|Europress - South Peak
|Excel
|Excite
|Face
|Faux Game Co.
|FBL
|FCI
|FengLi
|FF1freak
|FFMaster
|FFRemix Team
|FG Sof
|FG Soft
|fightonusc
|FIres - Icepir8
|First Press Games
|Fiver Firm
|FlameHead
|Florian
|Flubba
|FMG
|FMGi
|Fox Interactive
|Frac
|Fractal
|Fractal - Silo
|Frank Maggiore
|Frantik
|Frioniel
|Fryak
|Fuji Television
|Fukutake Shoten
|FuSIOn-Man
|Future Laboratory
|Future Media
|Fuzhou Waixing Computer Science & Technology Co.,LTD
|G.M.I. - Hudson
|G.M.I. - Human
|G.O 1
|G.O.1
|Gakken
|Gakushu Kenkyusha
|Galoob
|Game Factory
|Game Star
|Gamefreak Supreme
|Gameloft
|Gameloft - Taito
|Games Express
|GameTek
|Gargamel
|Garuna
|gary22fret
|Gavin
|Gavin86
|GDFUZZ
|Ge De Industry Co.
|Genki - Imagineer
|Giegue
|Gieuge
|Gil Galad
|Gilbert Cheung
|Gillotti, Greg - Hollis, Ben - Subramanian, Ram - Tarnow, Aaron
|Gluk
|Good as Grogan
|Goongyae
|Greek Roms
|Greg
|Gremlin
|Gremlin Interactive
|GRG
|Grimlick
|Grond
|GT Interactive
|GT Interactive - id Software
|Gywall
|Hack in A Sack
|Hacker Interantional
|Hacker International
|Hageo & C.
|HAL
|HAL America
|HAL Kenkyuujo
|HAL Laboratory
|HAL Laboratory - Nintendo
|Halelamien, Neil - Shultz, Darren
|Halley's Comet Software
|Hardcore Tecmo League
|Harlod14
|Hasbro Interactive
|Hasbro International
|Haystack
|Hect
|Hector
|Hero
|HES
|Hi Tech Expressions
|Hi-Score Media Work
|Hi-Tech Expressions
|HideJr
|High Score
|High Score Media Work
|High Society - Noisy Boyz
|High Society - Protest Design
|High Speed Tecmo League
|High Voltage Software - Lego
|Hiro
|HKPhooey
|HLC! Project
|HollowOne11
|Holmberg, Johannes
|Holy Knight
|Horizon64
|Hosenkan Electronics
|Hot B
|Hot-B
|Hot-B USA
|Howl from Beyond
|Hudson
|Hudson - NEC
|Hudson - Nintendo - Sharp
|Hudson - Takara
|Hudson - Turbo Technologies
|Hudson Soft
|Human
|Human - Ubisoft
|Human Entertainment
|HummingBird Soft
|Hwang Shinwei
|Hyper MegaMan Z
|I'Max
|I. Tecmo Football League
|IAM8BIT
|IceAge
|id Software - Midway
|Idea-Tek
|Idea-Tek, C&E, TXC
|Ignarant
|Ignition
|Ignition Entertainmen
|IGS
|IGS Corp.
|Ihoagied
|Image
|Imagineer
|Imagineer - Genki
|Imagineer - Genki - Ocean
|Imagineer - Genki - South Peak
|Imagineer - Ocean
|Imagineer - Pandora Box
|Immortal
|Immortal - Widget
|Imperial Production Studios
|Inccubus
|Incredible Technologies - NEC
|Induction Produce
|Infinite NES Lives
|Infocom
|Infogrames
|Infogrames - Ocean - Zed Two
|Infogrames - Psygnosis
|Innovation Tech
|Intec
|Intelligent Systems - Nintendo
|Interactive Studios
|Interactive Studios - Blitzgames
|Interordi
|Interplay
|Interplay - SCi
|INTV
|Iodine Dynamics
|Ion Storm - Kemco
|Irem
|Irem Corporation
|i_savant
|J.Y. Company
|Jaleco
|Jandar
|Japan System Supply - Sunsoft
|JayBird
|Jazz411
|Jeff Gaffney
|Jeid
|JerryD
|JG Games
|Jikuu
|Jim - Fish
|Jim Johnson
|JimW
|Jingukan Polaris
|JL_Picard
|Johannes Holmberg
|John's Programs
|Jolbert
|Jonathan Liss
|Joqualian
|JoshProd/PixelHeart
|Joshua Krandall
|Jovis
|Joy Van
|JSH357
|JStout - MrBeef - TDO
|Jupiter Paladin
|Just4Fun
|Justin
|Justin Vukelic
|JVC
|JVC Musical Industries
|JY
|K Amousement Leasing
|K Amusement
|K Amusement Lease
|K Amusement Leasing Co.
|K Amusements
|Kabucho
|Kakenhi
|Kasady
|Kasion
|Kass
|Kasumi
|Kawada
|Kawada, Co. Ltd
|Kefkaroth
|Kelly, Sean
|Kemco
|Kemco*Seika
|Kenclops
|Kevin Belgard
|Kid Stardust
|Kinema MusicJP
|King Records
|Kirby
|Kirikaze
|Knoxburry - Aneurysm
|Koei
|Konami
|Konami, Idemitsu Kosan
|Konami, NHK, Tokyo Shoseki
|Kotobuki System
|Kronic Virus
|Kronos Digital Entertainment - Vic Tokai
|Ku-Pi
|Kuwata
|Kwanten, Jos
|Kyugo
|Kyugo Boueki
|KZ-S
|l33t Translations
|l33tspek Translations
|LaC
|Lagomorph - Sl1me - Omniverse
|Laser Beam
|Laser Beam Entertainment
|Lasse Oorni
|Lem
|Lenophis
|Liang Yi Productions
|Lightforce - TRSI
|Limited Run Games
|Litmus Dragon
|Livak, Tom
|LJN
|Locke
|Logan
|Looking Glass Studios
|Looking Glass Studios - Nintendo
|Looking Glass Studios - Ubisoft
|Loopy
|Loriciel
|LT56
|LTC - NBC
|Lu
|LucasArts
|Lucky
|Ludosity
|Luis Alberto Galindo
|M&M
|MacBee
|MadCap
|Magic
|Magillicutty, R. Bubba
|Magus
|Majesco
|MakoEyes
|Malferds
|Mana
|Marak
|Marchawg
|MarioExpert
|Mark Knibbs
|Mark Simone
|MarquisEXB
|Mars
|Marshall
|Marshall - Retroactive
|Martin, Michael
|Marvelous
|Masaya - NCS
|Mashi
|Masiya
|Matchbox
|Matchbox Toys
|Matrixz
|Matt Dixon
|Matt Dixon - SBlueman
|Mattel
|Mattel Inc.
|mattjones18
|mattjones18 - andrewmarsh13
|Maxis
|Meatspin Players' Circuit
|Media Factory
|Mega Cat
|Mega Cat Studios
|Mega Soft
|MegaByte
|Megacyber
|Megahawks
|Meldac
|Memblers
|Memblerz
|Memir
|mew007
|MHS
|Micol972
|Micro Genius
|Microcabin
|MicroProse
|Midway
|Midway - Nintendo
|Midway - Seta
|Midway - Williams
|Miguel
|Miguel/Hijiki Soft
|Mikachu
|Mike J. Wahl
|Milmar
|Milton Bradley
|Milton Bradley Company
|Mindscape
|Mindscape International Japan
|MM2
|Moats7798
|Mogemogesama
|Mojon Twins
|MooglyGuy
|Morden
|Morphcat Games
|MPC
|Mr. 207
|Mr. Backup
|Mr. W
|MSFTUG
|Myriad
|MysteryFace
|Myu2
|N. Tecmo Football League
|Nakuyo
|Namco
|Namco - Nintendo
|Namco Ltd.
|NaN
|Nathan Serubin
|Natsume
|Natsume - Turbo Technologies
|Naxat
|Naxat Soft
|NBCG
|NCS
|Neal Tew
|NEC
|NEC Avenue
|nemesys
|Neo DarkShadow
|NeoTeam
|Neptune
|Neptune - Steve
|Nessylum Games
|Nester the Great
|Neverware
|NevOuS
|NevOuS - Dragon Warrior
|NewKidCo
|NewKidCo - Ubisoft
|Nexoft
|Nice Code
|Nichibutsu
|Nifty
|Nightcrawler
|Nihon Bussan
|Nihon Computer System
|Ninja Manon
|Nintendo
|Nintendo - Camelot Software Planning
|Nintendo - Hudson
|Nintendo - Noise
|Nintendo - Paradigm Simulation
|Nintendo - Quest
|Nintendo - Rare
|Nintendo of America
|Nioreh
|Nitra
|Nitra Corporation
|nnooiissee
|Nop_
|Norix
|NovaSquirrel
|Novotrade - Sega
|NT
|NTDEC
|NTVIC
|Nullsleep
|Obsidian
|Ocean
|Ocean Software
|Odatch!
|Oerjan
|OKG
|Oldie Fix '98
|Omsk
|Online Tecmo Football League
|Online Tecmo Football League Pool 4
|Online Tecmo Tourney
|Opius - Nullsleep
|Original Tecmo League
|Pack-in Video
|Pack-in-Video
|PaL
|Palcom
|Palcom Software
|Panesian
|Paradigm Entertainment - Video System
|Parasyte
|Parker Brothers
|Parker Brothers International
|Parsell, Joey
|Pat Buns
|Peter McQuillan
|Phillips, Colin
|Phin
|Pikawil
|Piko Interactive
|Piko Interactive LLC
|Pips, Mark
|Pixel
|Pixel Multimedia
|Player 1
|Player 1 - Titus
|Plimoth League
|pmeth
|pokemonandrew
|Pony Canyon
|Pookae
|Pope Hentai
|Poultry Games
|Presten Production
|PRHM
|Protest Design
|Proveaux
|PRTranslations
|Pubby
|Pyroscott
|Quest
|Quest Corporation
|Quickman
|Quietust
|R. Tecmo Football League
|RacerMate
|Rage Games
|Ramar International Co., LTD.
|Randy Moss
|Rare
|Rare - THQ
|Rare Ltd.
|Ratch
|Raysyde
|RBPD5015
|RCM
|Rdleifriaf
|Recoveryl
|Red Dempsey
|Red Storm Entertainment
|Red Wizard
|RedboX
|RedRageCard
|Reed, Jason
|Refresh Games
|Rei
|Ren6175
|Renderman
|Rene
|Repulse
|Retro-Bit
|Retroactive
|Retrocoders
|Retrosouls
|Retrotaku, Touko
|RetroZone
|Rex Soft
|Ricoh Elemex
|Rider
|Rinkaku
|Rising Star Games
|Rix Soft
|RMM1976
|rob
|RoboNES
|Robotic Paranoia
|Rockman
|Rockstar
|Rod Woodson
|Rod Woodson - rta
|Roger Deforest
|Romstar
|ROMulus
|Rost, Bob
|RuSteD LogIc
|Rwin
|Ryno
|Ryumik, Sergey
|Sachen
|Saiver Yuki
|Salio
|Sammy
|Sanritsu Denki
|SBlueman
|Schultz, Fredrik - Johansson, Morgan
|Scott Thomson
|Scribe99
|Scroll
|Scroop
|ScummVM Team
|SDM
|Sean Kelly
|Searl, Michael
|Sega
|Sega - Telenet
|Seika
|Sephiroth X
|SETA
|Seth
|Sexay Tecmo League
|Shanghai Paradise
|Sharp
|ShenZhen Nanjing Technology
|Shinya
|Shiru
|Shiru & PinWizz
|Shiru, Kulor, Denis
|Sierra
|Sierra On-Line
|Sigma
|Sigma Entertainment
|Sigma Shougi
|Sigma Shouji
|Sinzan
|Sirius
|SirKero
|Siudym
|Sivak Drac
|Sivak Games
|skeletorsamba
|Sl1me
|Slanderton
|Sliver X
|Sly Dog Studios
|SMBMates
|Smkdan
|Snake
|Snatches1
|SNK
|Snowarrow
|Snowbro
|Sobhi Youssef
|SOFEL
|Soft Pro
|Software Toolworks
|Sois
|Sois Tecmo League
|Son of EEK Productions
|Soncrap
|Sony
|Sony Imagesoft
|South Peak
|South Peak - THQ
|Sphere - Turbo Technologies
|Spike
|SPLiT
|Spoony Bard
|Spoony Bard Productions
|Square
|Square Soft
|Squaresoft
|squigscarmichael
|Star Fish
|Starfish SD
|Steve
|Steven Pukin - David Pukin
|Storm
|Storm - Triffix
|StRaNgE inc.
|Strangulation Games
|Subor
|Success
|Sugar Softec
|Sunsoft
|Super Game
|Super Mega
|Super Technos Co. Ltd
|SuperTone Electronics
|Supervision
|T&E Soft
|T-Echigoya
|Taito
|Taito Software
|Takara
|Takara - THQ
|Take Two Interactive
|Take-Two Interactive
|Takeru
|Talbot, Paul
|Taxan
|TCF
|TDO
|Technos
|Technos Japan
|Tecmo
|Tecmo Arena Football League
|Tecmo Championship Series
|Tecmo Collegiate Athletic Association
|Tecmo Elite
|Tecmo Football Association
|Tecmo World League
|Tecmorox81
|TecmoWorld League
|Ted Sterchi/Birthday Boy
|Telenet Japan
|TeMPeS
|Tengen
|Tenshin Fan-Soft
|Teppe
|Tesko
|Teunire
|Tew, Neal
|Thaddeus
|The DexMaster
|The Elite Hacking Force
|The Rooser
|The Ross
|The Secret Force
|THQ
|tigermask
|Tin Chen
|Tip Top
|Titus
|Titus Software
|Tivola
|Tizzomr
|TKC
|Toaplan
|Toei Animation
|Toei Douga
|Toggle Switch
|Toh Co. Ltd.
|Toho
|Toho Co. Ltd.
|Tokkan Kouzi Kanrinin
|Tokuma Shoten
|Tokyo Electron
|Tokyo Shoseki
|Tom
|Tom Brennan
|Tom Maneiro
|Toma
|Tomy
|Tonkin House
|Tony Young
|Toruru
|Toshiba EMI
|Toshiba-EMI
|Touei Douga
|Toukyou Shoseki
|Towa Chiki
|Towachiki
|Tradewest
|Trafalgar House
|Triffix
|Trixy
|TSS
|Tsurumido
|TS_Garp
|Turbo Technologies
|Tururu
|Twinsen
|Twiztid Killa
|Two-Bit Score
|TXC
|TXC Corp
|TXC Corporation
|Tyappie
|Tzar
|UBI Soft
|Ubisoft
|Ubisoft - Video System
|Ubisoft - Vivid Image
|UDX
|UFO
|UFO Interactive
|Ultimate Evil
|Ultimate7
|Ultra Games
|Ultra Soft
|Uni Post
|Unibrows
|Union Bond
|Unknown
|UPL
|Use
|Utarage
|Vandals Hack
|Vanguard
|Vanisher
|VAP
|Varie
|Vatical Entertainment - Vicarious Visions
|VGW
|Vic Tokai
|Victor
|Victor Ongaku Sangyou
|Video System
|Viper X
|Virgin Interactive
|Visco
|Vivendi
|VL-Tone
|Vortex744
|W. Moregusi - Keiou
|Waixing
|wAMMA
|Wax
|WebSoft Productions
|Westwood Studios
|WhoaMan
|WhooHooD'oh
|WhooHooD'oh - X-4000 - ViperX
|William Flores
|Windwaker101
|Wisdom Tree
|Working Designs
|World Championship Tecmo Association
|World Tecmo League
|WT_Riker
|X-4000
|X-hackers
|Xodnizel
|Xtreme Tecmo League
|Y.S
|Yerrick, Damian
|Yoko Soft
|Yonezawa
|Yonezawa PR21
|Young, Tony
|Yudaidhun
|Yuifa
|Yutaka
|YY
|Zack Elle
|Zemina
|Zero Soul
|zgh4000
|ZombiKiller
|ZoRAXE
|'Rwin
|Microphone Doukonban
|Software Tantaiban
|Shokai Seisanban
